id,isbn,name,author,publishing,publisheddate,price,pages,description
34,9.7871E+12,近代中国留学史 近代中国教育思想史,舒新城,商务印书馆,Nov-14,55,55,"舒新城，中国近代教育史上富有传奇色彩的教育家。本书是其代表作《近代中国留学史》《近代中国教育思想史》的合刊。
《近代中国留学史》为中国近代第一部研究留学问题的专著，奠定了中国留学史研究的根基。从清同治九年到民国十五年近六十年来有关中国留学种种，内容涵盖留学创议、制度设计、章程规范以及中国学生赴欧美、东洋等国留学人数、所学科目等方面。因此，《近代中国留学史》成为研究有关中国留学历史的必读书目，也为日后书写中国留学教育史贡献了基本范式。
《近代中国教育思想史》是舒新城的重要研究成果，它较为系统地阐述近代中国教育思想的演变特点与规律，勾画出中国近代教育思潮发展的大致轮廓。"
35,9.7871E+12,微观经济学十讲,王则柯,商务印书馆,Jul-13,32,32,"王则柯教授曾应邀给中山大学传播与设计学院本科一年级同学开设经济学原理课，课程的宗旨，是结合中国经济体制改革中遇到的问题，介绍微观经济学的主要概念、重要理论和常用方法。给非经济类专业的同学讲经济学原理，把经济学中最重要的一些东西介绍给他们，是不能在技术方面要求太高的，以免把他们吓跑。幸而王教授正是深入浅出的高手，常常能够把貌似深奥的道理，阐发得比较浅白。课程进行得非常成功。本书即由这门大受欢迎的课程的课堂实录整理而成，以期与更多同学和读者分享、交流。
现代经济学给我们提供了一种理解社会的方式。面对当下种种社会现象，本书的视角与分析，会令读者时有醍醐灌顶、豁然开朗的感觉。"
36,9.7871E+12,美国知识产权法原理,[美]肯尼思?L.波特,商务印书馆,Aug-13,66,66,美国法学院经典、权威的教科书。本书分版权、专利和商标三大部分，全面阐述了以判例发展起来的美国知识产权法，几乎囊括了美国知识产权法有史以来的绝大多数学说与制度细节，特别是司法成果。该书尤其还对新技术背景下的知识产权问题，如计算机软件等虚拟版权客体、在线侵权、商标法等问题给予了相当的重视。本书一改以往国内法学教材的抽象、空洞，也避免了案例的堆砌，篇幅不大，却承载了博大精深的美国版权法。
37,9.7871E+12,灵魂的居所,刘华,商务印书馆,Jan-14,56,56,"深厚的传统文化积淀、吴头楚尾和北人南迁的历史情境、明清以后随工商兴起带来的富足生活，造就了体现出多元文化特质的丰富多彩的江西古村建筑艺术。《灵魂的居所》力图以散文的形式，引领读者去品味建筑、想象历史，启发读者欣赏古村建筑的审美主动性。
编辑推荐"
38,9.7871E+12,中华国学,张荣明,商务印书馆,Apr-14,46,46,《中华国学》是以南开大学教授张荣明“中华国学”课程讲义为底本编写的大众国学读物。“国学”是一个国家的传统学术，本书除“导论”外共十六讲，分为六编。就内容而言，覆盖传统的自然观、社会观、家庭观、宗教观诸方面；就时代而言，纵贯自商周到明清的整个古代。
39,9.7871E+12,涂尔干：社会与国家,渠敬东,商务印书馆,Dec-14,65,65,"? 首次从政治社会学的角度对涂尔干社会理论中的国家问题展开研究
? 首次推出涂尔干政论文章的中译版
社会理论辑刊，第一辑：以“涂尔干：社会与国家”为主题，主要从政治社会学的角度，探讨了涂尔干社会理论中的社会与国家之间的关系，并在此基础上揭示和发掘其对当下的意义和价值。同时，又收入一系列学术论文，从社会理论和社会史角度，分别讨论了舒茨的现象学社会学有关生活世界的核心问题和中国社会中的乡约和法律的相关议题。在本书的最后部分收录了三篇书评，对英国的自然法、法国的社会理论传统和德国的齐美尔研究作了出色的评论。"
40,9.7871E+12,中国语言规划三论,李宇明,商务印书馆,Oct-15,36,36,本书与此前出版的《中国语言规划论》《中国语言规划续论》，性质相同，故名《中国语言规划三论》。书中收录了2009年以来，作者发表的有关语言规划的文章，记录着作者在语言规划领域的学术思想，呈现出学术思想的发展踪迹。
41,9.7871E+12,思辨的张力,邓晓芒,商务印书馆,Jun-16,108,108,作者立足于一个全新的视角，对黑格尔辩证法进行了历史渊源的追溯和逻辑结构的分析，指出它由两个不可分割的本质要素构成，即作为内在动力的自否定的努斯精神和作为反思形式的逻各斯精神。通过与中国哲学的比较，深入分析了黑格尔哲学中这两大精神的运作方式及相互关系，阐明了由此形成的黑格尔哲学本体论、认识论和逻辑学三者统一的体系特征，展示了黑格尔哲学与马克思哲学的内在联系和差异，是对黑格尔辩证法的一个具有开拓性的研究成果。
42,9.7871E+12,质朴坚毅,赵旭云,商务印书馆,Aug-16,55,55,本书包括赵松乔先生的生平家事、求学生涯、科研经历及国际交流活动等内容。涵盖了赵松乔先生的学术生涯、科学精神和学术成就，以及邀请他首访台湾的历程。通过列举赵松乔先生的著作以及赵松乔先生的生平往事，回顾了赵先生的诸多学术贡献，包括中国农牧交错地区（带）的划分、我国沙漠和戈壁的分类研究、将荒漠化概念引入我国干旱区研究、提出我国治沙战略、推翻莫高窟（千佛洞）将被沙丘埋压的说法等。赵松乔先生“打破传统、开拓未来”的精神，“出成果、出人才”的理念，“地理学家不仅要有视力，更要有眼光”的教诲，都是我们需要不断传承的精神财富。
43,9.7871E+12,镜像,冯晏,商务印书馆,Nov-16,40,40,这部诗集收录了诗人冯晏近10年创作的近50首诗。这些诗歌写作手法庞杂而丰富，既有叙事与抒情相互融汇的，也有分别的浪漫主义、表现主义、超现实的写作探索和对诗歌语言的实验性深入。诗集中，诗人将自己的阅历和学养中所提炼出来生活真理、都市元素、哲学思想、宇宙观都深入浅出地镶嵌在词语的意象里，构成了精神现象中独特的创造性语言景观。诗集最后还附录了诗人近年来围绕诗歌创作所发表的思想随笔以及有关文论和访谈文章，便于读者更好地了解诗人的创作思维，在阅读时形成一种互动的默契。
44,9.7871E+12,剑桥应用语言学年度评论2014,[美]Charlene Polio,商务印书馆,Dec-16,38,38,本书主题为“研究方法专题”，共包括10篇文章，对应用语言学的相关核心概念进行了界定和探讨，同时指出，应用语言学领域的研究内容和方法不断在吸收新内容、产生新变化。本书所论述的内容，对该领域的研究者来说，既具有很强的可读性和参考价值，也可发挥理论指导实践的作用。
